issue_number,title,body_excerpt,html_url,state,maintainer_labels,predicted_candidate_label,confidence,reason
2,doctl should support a config file,"Currently the doctl command line tool supports retrieving auth from env vars, but I would prefer to store these in a dot file in my home directory.",https://github.com/digitalocean/doctl/issues/2,closed,,,0.000,no_high_confidence_signal
18,droplet delete name disambiguation,"If you have multiple droplets with the same name, e.g. ""ubuntu-2gb-nyc3-01"", and issue a droplet delete command, doctl deletes the oldest one. ``` doctl compute droplet delete ubuntu-2gb-nyc3-01 ``` This should be documented, or there sh...",https://github.com/digitalocean/doctl/issues/18,closed,,,0.000,no_high_confidence_signal
19,Can't login on windows,"Just tried installing the client after the twitter post was announce and wanted to login, however the client isn't being so nice about it. `1.0` Releases eh? Anyway when attempting to login, it seems that the client is ignoring all the a...",https://github.com/digitalocean/doctl/issues/19,closed,,,0.000,no_high_confidence_signal
20,`doctl compute images list` does not include slug.,``` [~]# doctl compute image list ID Name Type Distribution Slug Public Min Disk 79909 Rails-3.2.12-Nginx-MySQL snapshot Ubuntu false 20 13271590 FreeBSD 10.2 Raw snapshot FreeBSD false 20 15836396 packer-1455685225 snapshot Ubuntu false...,https://github.com/digitalocean/doctl/issues/20,closed,,,0.000,no_high_confidence_signal
21,can't login on KDE,(either #19 ;) I traced this one down to https://github.com/bryanl/webbrowser/issues/2 however.,https://github.com/digitalocean/doctl/issues/21,closed,,,0.000,no_high_confidence_signal
22,doctl 1.0.0 version shows as 1.0.0-dev,$ doctl version doctl version 1.0.0-dev Git commit hash: d8e2e0b $ sha256sum /usr/bin/doctl 9f8ebe3c1d69ac5cb4ce313d82ceeac83485a57904ea9ef11accc62db8944e7b) /usr/bin/doctl ![doctl](https://cloud.githubusercontent.com/assets/12419155/141...,https://github.com/digitalocean/doctl/issues/22,closed,,,0.000,no_high_confidence_signal
26,What broke Jim?,"Receive follow problem ``` bash $ doctl auth login login to DigitalOcean account Usage: doctl auth login [flags] Flags: -h, --help help for login Global Flags: -t, --access-token string DigitalOcean API V2 Access Token -o, --output strin...",https://github.com/digitalocean/doctl/issues/26,closed,,,0.000,no_high_confidence_signal
29,Release to Package Managers,You should release it to several different package managers such as [Homebrew](http://brew.sh) and APT repositories (preferably make your own).,https://github.com/digitalocean/doctl/issues/29,closed,,,0.000,no_high_confidence_signal
30,--ssh-port option ignored,My droplets use a non-standard port for ssh. So I tried this: `doctl compute ssh <my_droplet> --ssh-user <my_user> --ssh-port 1234` But I get `ssh: connect to host <droplet_ip> port 22: Connection refused` `Error: 255` | Software | Versi...,https://github.com/digitalocean/doctl/issues/30,closed,,,0.000,no_high_confidence_signal
32,In the homebrew version of the package is 0.0.16,This version of the homebrew is well out of date,https://github.com/digitalocean/doctl/issues/32,closed,,,0.000,no_high_confidence_signal
33,Multiple Missing Things for 'change-kernel' Action,The `--format` option is missing for the `change-kernel` action using the following command: ``` doctl compute droplet-action change-kernel <droplet-id> ``` This option exists for other similar `droplet-action` such as `power-off`. I was...,https://github.com/digitalocean/doctl/issues/33,closed,,,0.000,no_high_confidence_signal
37,Create script to regenerate mocks,"`doctl` uses multiple mocks in testing. In order to generate them the same way every time, create a script to generate the mocks.",https://github.com/digitalocean/doctl/issues/37,closed,,,0.000,no_high_confidence_signal
42,"plain ""go get"" doesn't work on the repository",`$ go get github.com/digitalocean/doctl/cmd/doctl` doesn't work out of the box: ``` $ go get github.com/digitalocean/doctl/cmd/doctl # cd /home/user/mygo/src/github.com/digitalocean/doctl; git submodule update --init --recursive fatal: n...,https://github.com/digitalocean/doctl/issues/42,closed,,,0.000,no_high_confidence_signal
43,Update Homebrew version to v1.0.1,The Homebrew formula is [still pointing at v1.0.0](https://github.com/Homebrew/legacy-homebrew/blob/master/Library/Formula/doctl.rb#L6),https://github.com/digitalocean/doctl/issues/43,closed,,,0.000,no_high_confidence_signal
45,Making doctl configuration versatile,_Edit: Win11 added Linux subsystem support_,https://github.com/digitalocean/doctl/issues/45,closed,,,0.000,no_high_confidence_signal
46,Cannot run binary,I followed the installation steps of option 2. Running `doctl` results in this error message: `zsh: exec format error: doctl` I'm on the latest version of OSX. How can this be fixed?,https://github.com/digitalocean/doctl/issues/46,closed,,,0.000,no_high_confidence_signal
47,Add a FreeBSD release,I would like to make a FreeBSD port for the doctl tool. It would be much easier to pull the release build from github rather than building it from source. Would it be possible to add a FreeBSD release?,https://github.com/digitalocean/doctl/issues/47,closed,,,0.000,no_high_confidence_signal
48,Using Doctl to rebuild a droplet,I ran `doctl compute droplet list` to get a droplet_id for our droplets. One of our droplets has droplet_id **12018347**. I then ran `doctl compute image list` to get the image_id for the Ubuntu 14.04.4 x64 image. According to this comma...,https://github.com/digitalocean/doctl/issues/48,closed,,,0.000,no_high_confidence_signal
50,Feature request: assigning a floating IP to a droplet,It seems that currently there is no command for creating a floating IP and assigning it in one go. This would be very handy in our provisioning scripts. Would you consider adding this?,https://github.com/digitalocean/doctl/issues/50,closed,,,0.000,no_high_confidence_signal
55,if json output is selected should only produce json output,"when JSON output is selected, don't `fmt.Print...` stuff to stdout. e.g: https://github.com/digitalocean/doctl/blob/master/commands/droplets.go#L408",https://github.com/digitalocean/doctl/issues/55,closed,,,0.000,no_high_confidence_signal
59,[Suggestion] XDG conformance for .doctlcfg,This would be a nice to have feature for those of us with OCD. :),https://github.com/digitalocean/doctl/issues/59,closed,,,0.000,no_high_confidence_signal
65,Windows SSH client agent support,"Doctl uses a custom ssh client because it can't assume there is a ssh executable in the path. In order to be more friendly, there should exist support for SSH agents.",https://github.com/digitalocean/doctl/issues/65,closed,,,0.000,no_high_confidence_signal
