model_id,display_name,provider,family,object_type,owned_by,created,modality,supported_endpoints,serverless_visible,chat_completion_supported,responses_supported,embedding_supported,image_supported,audio_supported,video_supported,context_window,max_output_tokens,input_price_per_1m,output_price_per_1m,pricing_source,pricing_captured_at,pricing_missing,cost_ready,eligibility_status,exclusion_reason,notes,fetched_at_utc
alibaba-qwen3-32b,Alibaba Qwen3 32B,Alibaba/Qwen,qwen,model,digitalocean,1752255238,text,chat_completions,true,true,false,false,false,false,false,32768,32768,0.25,0.55,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,"Cost-efficient smoke-pool candidate: Qwen model from a different provider family than OpenAI, Mistral, and DeepSeek.",2026-06-10T21:01:37.812921Z
anthropic-claude-4.1-opus,anthropic-claude-4.1-opus,Anthropic,claude,model,anthropic,1762288203,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-4.5-sonnet,anthropic-claude-4.5-sonnet,Anthropic,claude,model,anthropic,1762371241,text,chat_completions,true,true,false,false,false,false,false,200000,,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-4.6-sonnet,anthropic-claude-4.6-sonnet,Anthropic,claude,model,anthropic,1771366786,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-fable-5,anthropic-claude-fable-5,Anthropic,claude,model,anthropic,1781035402,text,chat_completions,true,true,false,false,false,false,false,1000000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-haiku-4.5,Anthropic Claude Haiku 4.5,Anthropic,claude,model,anthropic,1770276853,text,chat_completions,true,true,false,false,false,false,false,200000,8192,1.0,5.0,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Frontier-reference smoke-pool candidate: Anthropic low-latency/cost reference for provider diversity against OpenAI.,2026-06-10T21:01:37.812921Z
anthropic-claude-opus-4,anthropic-claude-opus-4,Anthropic,claude,model,anthropic,1753359599,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-opus-4.5,anthropic-claude-opus-4.5,Anthropic,claude,model,anthropic,1764790378,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-opus-4.6,anthropic-claude-opus-4.6,Anthropic,claude,model,anthropic,1770333973,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-opus-4.7,anthropic-claude-opus-4.7,Anthropic,claude,model,anthropic,1776379334,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-opus-4.8,anthropic-claude-opus-4.8,Anthropic,claude,model,anthropic,1780009573,text,chat_completions,true,true,false,false,false,false,false,1000000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
anthropic-claude-sonnet-4,anthropic-claude-sonnet-4,Anthropic,claude,model,anthropic,1753359599,text,chat_completions,true,true,false,false,false,false,false,200000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
arcee-trinity-large-thinking,Arcee Trinity Large Thinking,Arcee,trinity,model,digitalocean,1775072224,text,chat_completions,true,true,false,false,false,false,false,128000,32000,0.25,0.9,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Large reasoning smoke-pool candidate: thinking-style model to validate whether reasoning behavior helps or hurts strict classification.,2026-06-10T21:01:37.812921Z
deepseek-3.2,DeepSeek 3.2,DeepSeek,deepseek,model,digitalocean,1776375302,text,chat_completions,true,true,false,false,false,false,false,128000,64000,0.5,1.6,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Large smoke-pool candidate: quality-oriented DigitalOcean-hosted DeepSeek model.,2026-06-10T21:01:37.812921Z
deepseek-4-flash,DeepSeek 4 Flash,DeepSeek,deepseek,model,digitalocean,1779896095,text,chat_completions,true,true,false,false,false,false,false,262144,262144,0.14,0.28,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Cost-efficient smoke-pool candidate: fast low-cost DigitalOcean-hosted model with attractive token pricing.,2026-06-10T21:01:37.812921Z
