model_id,display_name,provider,family,object_type,owned_by,created,modality,supported_endpoints,serverless_visible,chat_completion_supported,responses_supported,embedding_supported,image_supported,audio_supported,video_supported,context_window,max_output_tokens,input_price_per_1m,output_price_per_1m,pricing_source,pricing_captured_at,pricing_missing,cost_ready,eligibility_status,exclusion_reason,notes,fetched_at_utc
alibaba-qwen3-32b,Alibaba Qwen3 32B,Alibaba/Qwen,qwen,model,digitalocean,1752255238,text,chat_completions,true,true,false,false,false,false,false,32768,32768,0.25,0.55,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,"Cost-efficient smoke-pool candidate: Qwen model from a different provider family than OpenAI, Mistral, and DeepSeek.",2026-06-10T21:01:37.812921Z
anthropic-claude-haiku-4.5,Anthropic Claude Haiku 4.5,Anthropic,claude,model,anthropic,1770276853,text,chat_completions,true,true,false,false,false,false,false,200000,8192,1.0,5.0,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Frontier-reference smoke-pool candidate: Anthropic low-latency/cost reference for provider diversity against OpenAI.,2026-06-10T21:01:37.812921Z
arcee-trinity-large-thinking,Arcee Trinity Large Thinking,Arcee,trinity,model,digitalocean,1775072224,text,chat_completions,true,true,false,false,false,false,false,128000,32000,0.25,0.9,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Large reasoning smoke-pool candidate: thinking-style model to validate whether reasoning behavior helps or hurts strict classification.,2026-06-10T21:01:37.812921Z
deepseek-3.2,DeepSeek 3.2,DeepSeek,deepseek,model,digitalocean,1776375302,text,chat_completions,true,true,false,false,false,false,false,128000,64000,0.5,1.6,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Large smoke-pool candidate: quality-oriented DigitalOcean-hosted DeepSeek model.,2026-06-10T21:01:37.812921Z
deepseek-4-flash,DeepSeek 4 Flash,DeepSeek,deepseek,model,digitalocean,1779896095,text,chat_completions,true,true,false,false,false,false,false,262144,262144,0.14,0.28,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Cost-efficient smoke-pool candidate: fast low-cost DigitalOcean-hosted model with attractive token pricing.,2026-06-10T21:01:37.812921Z
kimi-k2.5,Kimi K2.5,Moonshot AI,kimi,model,digitalocean,1773347767,text,chat_completions,true,true,false,false,false,false,false,256000,32768,0.5,2.7,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Balanced smoke-pool candidate: large DigitalOcean-hosted model from a different provider family. Standard pricing used; off-peak pricing intentionally ignored for apples-to-apples comparison.,2026-06-10T21:01:37.812921Z
llama-4-maverick,Llama 4 Maverick,Meta,llama,model,digitalocean,1776729457,text,chat_completions,true,true,false,false,false,false,false,128000,16384,0.25,0.87,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Balanced smoke-pool candidate: modern Llama model with larger context and moderate pricing.,2026-06-10T21:01:37.812921Z
llama3.3-70b-instruct,Llama 3.3 70B Instruct,Meta,llama,model,digitalocean,1736801780,text,chat_completions,true,true,false,false,false,false,false,128000,4096,0.65,0.65,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Balanced smoke-pool candidate: classic 70B instruct baseline and strong open-model reference.,2026-06-10T21:01:37.812921Z
mistral-3-14B,Mistral 3 14B,Mistral AI,mistral,model,digitalocean,1776471052,text,chat_completions,true,true,false,false,false,false,false,262144,,0.2,0.2,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Cost-efficient smoke-pool candidate: small instruct model to test the small-model quality floor.,2026-06-10T21:01:37.812921Z
nvidia-nemotron-3-super-120b,NVIDIA Nemotron 3 Super 120B,NVIDIA,nemotron,model,digitalocean,1773783814,text,chat_completions,true,true,false,false,false,false,false,1000000,32768,0.3,0.65,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Balanced smoke-pool candidate: large DigitalOcean-hosted NVIDIA model with moderate price.,2026-06-10T21:01:37.812921Z
openai-gpt-4o-mini,OpenAI GPT-4o Mini,OpenAI,gpt-4o,model,openai,1740436938,text,chat_completions,true,true,false,false,false,false,false,128000,16384,0.15,0.6,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Frontier-reference smoke-pool candidate: low-cost commercial reference widely used for classification-like workloads.,2026-06-10T21:01:37.812921Z
openai-gpt-5-mini,OpenAI GPT-5 Mini,OpenAI,gpt-5,model,openai,1757445018,text,chat_completions,true,true,false,false,false,false,false,400000,128000,0.25,2.0,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Frontier-reference smoke-pool candidate: commercial higher-capability mini model for quality uplift reference.,2026-06-10T21:01:37.812921Z
openai-gpt-5-nano,OpenAI GPT-5 Nano,OpenAI,gpt-5,model,openai,1757445022,text,chat_completions,true,true,false,false,false,false,false,400000,128000,0.05,0.4,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Cost-efficient smoke-pool candidate: very low-cost commercial model and cheap baseline.,2026-06-10T21:01:37.812921Z
openai-gpt-oss-120b,OpenAI GPT-OSS 120B,OpenAI,gpt-oss,model,digitalocean,1754595080,text,chat_completions,true,true,false,false,false,false,false,128000,4096,0.1,0.7,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Balanced smoke-pool candidate: larger OSS model from the gpt-oss family for comparison against 20B.,2026-06-10T21:01:37.812921Z
openai-gpt-oss-20b,OpenAI GPT-OSS 20B,OpenAI,gpt-oss,model,digitalocean,1754595075,text,chat_completions,true,true,false,false,false,false,false,128000,4096,0.05,0.45,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Cost-efficient smoke-pool candidate: very low-cost open-weight model to test whether small OSS is enough for issue classification.,2026-06-10T21:01:37.812921Z
qwen3.5-397b-a17b,Qwen3.5 397B A17B,Alibaba/Qwen,qwen,model,digitalocean,1776379991,text,chat_completions,true,true,false,false,false,false,false,131072,81920,0.55,3.5,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Large smoke-pool candidate: high-capability Qwen-family model for quality-oriented non-frontier comparison.,2026-06-10T21:01:37.812921Z
