model_id,pool_tier,expected_role,calls_total,calls_ok,calls_error,success_rate,valid_output_rate,parsed_valid_output_rate,strict_valid_output_rate,invalid_label_count,parse_error_count,auth_error_count,timeout_count,rate_limit_count,other_error_count,dominant_error_type,dominant_error_message,p50_latency_ms,p95_latency_ms,avg_latency_ms,requests_per_second,total_cost_usd,avg_cost_per_ok_call_usd,prompt_tokens_total,completion_tokens_total,sanity_correct_count,sanity_accuracy,decision,decision_reason
alibaba-qwen3-32b,cost_efficient,cheap_default_candidate,11,10,1,0.9091,0.9091,0.9091,0.9091,0,0,0,1,0,0,timeout,The read operation timed out,24384.153,38984.962,27265.29,0.047,0.0027295,0.00027295,4956,2710,9,0.9,needs_review,p95 latency exceeds 30000ms.
deepseek-3.2,large,quality_candidate,11,11,0,1.0,1.0,1.0,0.7273,0,0,0,0,0,0,,,2633.265,12686.258,4507.095,0.44,0.003477,0.0003160909090909091,5514,450,10,0.9091,needs_review,p95 latency is more than 3x the median successful-model p95.
deepseek-4-flash,cost_efficient,cheap_default_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1760.021,6564.974,2974.821,0.647,0.00087808,7.982545454545455e-05,5514,379,9,0.8182,pass_to_pilot,Reliable calls and parsed output contract.
openai-gpt-oss-120b,balanced,balanced_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1551.043,2202.763,1688.176,1.133,0.0013186,0.00011987272727272728,6074,1016,9,0.8182,pass_to_pilot,Reliable calls and parsed output contract.
openai-gpt-oss-20b,cost_efficient,cheap_default_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1241.156,2057.526,1259.75,1.484,0.00085225,7.747727272727274e-05,6074,1219,9,0.8182,pass_to_pilot,Reliable calls and parsed output contract.
anthropic-claude-haiku-4.5,frontier_reference,reference,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,6.346,,,,,0,,reject,Provider/model permission or support errors observed.
arcee-trinity-large-thinking,large_reasoning,quality_candidate,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,6.325,,,,,0,,reject,Provider/model permission or support errors observed.
kimi-k2.5,balanced,balanced_candidate,11,0,11,0.0,0.0,0.0,0.0,0,11,0,0,0,0,parse_error,No JSON object found in model output.,,,,1.558,,,5374,176,0,,reject,Systematic output-contract parse failures observed.
llama-4-maverick,balanced,balanced_candidate,11,2,9,0.1818,0.1818,0.1818,0.1818,0,9,0,0,0,0,parse_error,No JSON object found in model output.,556.856,598.256,556.856,3.257,0.00035723,0.000178615,5388,173,2,1.0,reject,Systematic output-contract parse failures observed.
llama3.3-70b-instruct,balanced,balanced_candidate,11,2,9,0.1818,0.1818,0.1818,0.1818,0,9,0,0,0,0,parse_error,No JSON object found in model output.,2003.704,2113.526,2003.704,0.819,0.00042835000000000003,0.00021417500000000002,5677,175,2,1.0,reject,Systematic output-contract parse failures observed.
mistral-3-14B,cost_efficient,cheap_default_candidate,11,0,11,0.0,0.0,0.0,0.0,0,11,0,0,0,0,parse_error,No JSON object found in model output.,,,,3.302,,,5698,176,0,,reject,Systematic output-contract parse failures observed.
nvidia-nemotron-3-super-120b,balanced,balanced_candidate,11,0,11,0.0,0.0,0.0,0.0,0,11,0,0,0,0,parse_error,No JSON object found in model output.,,,,1.653,,,5819,176,0,,reject,Systematic output-contract parse failures observed.
openai-gpt-4o-mini,frontier_reference,reference,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,5.972,,,,,0,,reject,Provider/model permission or support errors observed.
openai-gpt-5-mini,frontier_reference,reference,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,5.975,,,,,0,,reject,Provider/model permission or support errors observed.
openai-gpt-5-nano,cost_efficient,cheap_default_candidate,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,5.983,,,,,0,,reject,Provider/model permission or support errors observed.
qwen3.5-397b-a17b,large,quality_candidate,11,0,11,0.0,0.0,0.0,0.0,0,11,0,0,0,0,parse_error,No JSON object found in model output.,,,,1.432,,,5751,176,0,,reject,Systematic output-contract parse failures observed.
