model_id,result_run_id,resultset_path,pool_tier,expected_role,calls_total,calls_ok,calls_error,success_rate,valid_output_rate,parsed_valid_output_rate,strict_valid_output_rate,invalid_label_count,parse_error_count,auth_error_count,timeout_count,rate_limit_count,other_error_count,dominant_error_type,dominant_error_message,p50_latency_ms,p95_latency_ms,avg_latency_ms,requests_per_second,total_cost_usd,avg_cost_per_ok_call_usd,prompt_tokens_total,completion_tokens_total,sanity_correct_count,sanity_accuracy,decision,decision_reason
alibaba-qwen3-32b,smoke-v1,runs/smoke-v1/results/alibaba-qwen3-32b.json,cost_efficient,cheap_default_candidate,11,10,1,0.9091,0.9091,0.9091,0.9091,0,0,0,1,0,0,timeout,The read operation timed out,24384.153,38984.962,27265.29,0.047,0.0027295,0.00027295,4956,2710,9,0.9,needs_review,p95 latency exceeds 30000ms.
deepseek-3.2,smoke-v1,runs/smoke-v1/results/deepseek-3.2.json,large,quality_candidate,11,11,0,1.0,1.0,1.0,0.7273,0,0,0,0,0,0,,,2633.265,12686.258,4507.095,0.44,0.003477,0.0003160909090909091,5514,450,10,0.9091,pass_to_pilot,Reliable calls and parsed output contract.
deepseek-4-flash,smoke-v1,runs/smoke-v1/results/deepseek-4-flash.json,cost_efficient,cheap_default_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1760.021,6564.974,2974.821,0.647,0.00087808,7.982545454545455e-05,5514,379,9,0.8182,pass_to_pilot,Reliable calls and parsed output contract.
llama-4-maverick,smoke-v1-promptfix,runs/smoke-v1-promptfix/results/llama-4-maverick.json,balanced,balanced_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,613.894,812.087,637.992,3.087,0.00173396,0.00015763272727272728,6125,233,10,0.9091,pass_to_pilot,Reliable calls and parsed output contract.
llama3.3-70b-instruct,smoke-v1-promptfix,runs/smoke-v1-promptfix/results/llama3.3-70b-instruct.json,balanced,balanced_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,5808.988,7476.47,6062.718,0.311,0.0042679,0.00038799090909090905,6414,152,9,0.8182,pass_to_pilot,Reliable calls and parsed output contract.
mistral-3-14B,smoke-v1-promptfix,runs/smoke-v1-promptfix/results/mistral-3-14B.json,cost_efficient,cheap_default_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,598.297,847.251,637.691,2.986,0.0013498000000000002,0.00012270909090909092,6457,292,9,0.8182,pass_to_pilot,Reliable calls and parsed output contract.
openai-gpt-oss-120b,smoke-v1,runs/smoke-v1/results/openai-gpt-oss-120b.json,balanced,balanced_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1551.043,2202.763,1688.176,1.133,0.0013186,0.00011987272727272728,6074,1016,9,0.8182,pass_to_pilot,Reliable calls and parsed output contract.
openai-gpt-oss-20b,smoke-v1,runs/smoke-v1/results/openai-gpt-oss-20b.json,cost_efficient,cheap_default_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1241.156,2057.526,1259.75,1.484,0.00085225,7.747727272727274e-05,6074,1219,9,0.8182,pass_to_pilot,Reliable calls and parsed output contract.
anthropic-claude-haiku-4.5,smoke-v1,runs/smoke-v1/results/anthropic-claude-haiku-4.5.json,frontier_reference,reference,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,6.346,,,,,0,,reject,Provider/model permission or support errors observed.
arcee-trinity-large-thinking,smoke-v1,runs/smoke-v1/results/arcee-trinity-large-thinking.json,large_reasoning,quality_candidate,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,6.325,,,,,0,,reject,Provider/model permission or support errors observed.
kimi-k2.5,smoke-v1-promptfix,runs/smoke-v1-promptfix/results/kimi-k2.5.json,balanced,balanced_candidate,11,0,11,0.0,0.0,0.0,0.0,0,11,0,0,0,0,parse_error,No JSON object found in model output.,,,,0.901,,,6111,704,0,,reject,Systematic output-contract parse failures observed.
nvidia-nemotron-3-super-120b,smoke-v1-promptfix,runs/smoke-v1-promptfix/results/nvidia-nemotron-3-super-120b.json,balanced,balanced_candidate,11,1,10,0.0909,0.0909,0.0909,0.0909,0,10,0,0,0,0,parse_error,No JSON object found in model output.,4472.048,4472.048,4472.048,0.394,0.00014654999999999998,0.00014654999999999998,6578,703,1,1.0,reject,Systematic output-contract parse failures observed.
openai-gpt-4o-mini,smoke-v1,runs/smoke-v1/results/openai-gpt-4o-mini.json,frontier_reference,reference,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,5.972,,,,,0,,reject,Provider/model permission or support errors observed.
