issue_number,issue_id,title,body_excerpt,html_url,state,created_at,closed_at,maintainer_labels,ground_truth,confidence,label_source,source_signals,rationale
24,144883690,Plesee describe in README.md more detail about compile from source,"> Alternatively, if you have a Go environment configured, you can install the development > version of doctl from the command line like so: > go get github.com/digitalocean/doctl I type **doctl** after this and have no success. I will do...",https://github.com/digitalocean/doctl/issues/24,closed,2016-03-31T12:22:04Z,2016-03-31T15:10:11Z,,documentation,0.800,keyword,"[""text_signal:documentation:\\bclarify\\b,readme"", ""title_signal:documentation:readme"", ""high_specific_text:documentation""]","Assigned documentation from keyword with confidence 0.80. Signals: text_signal:documentation:\bclarify\b,readme; title_signal:documentation:readme; high_specific_text:documentation."
25,144908462,Documentation mismatch,"In document https://www.digitalocean.com/community/tutorials/how-to-use-doctl-the-official-digitalocean-command-line-client you describe "".doctlconfig"" but in current repository you say about "".doctlcfg"". Other problem is configuration f...",https://github.com/digitalocean/doctl/issues/25,closed,2016-03-31T13:51:38Z,2016-03-31T21:50:14Z,,documentation,0.900,keyword,"[""text_signal:documentation:\\bmismatch\\b,documentation,tutorial"", ""title_signal:documentation:\\bmismatch\\b,documentation"", ""high_specific_text:documentation""]","Assigned documentation from keyword with confidence 0.90. Signals: text_signal:documentation:\bmismatch\b,documentation,tutorial; title_signal:documentation:\bmismatch\b,documentation; high_specific_text:documentation."
28,144955447,No .doctlconfig format specified,"Hello, Please clarify file format of **.doctlconfig** in documentation. Now it look like JSON but not quote a string on another source like issue it look like: ``` key1: value1 key2: value2 ``` Please describe format or/and provide infor...",https://github.com/digitalocean/doctl/issues/28,closed,2016-03-31T16:50:22Z,2016-03-31T21:49:13Z,,documentation,1.000,manual_override,"[""manual_override""]",Primary ask is to clarify the .doctlconfig file format in documentation.
73,153531326,Cannot execute binary file when following instructions in Readme.md,"Hi, I get the error ""-bash: /usr/local/bin/doctl: cannot execute binary file"" when following the instructions in the readme file.",https://github.com/digitalocean/doctl/issues/73,closed,2016-05-06T20:25:27Z,2016-05-07T01:11:31Z,,documentation,0.800,keyword,"[""text_signal:documentation:\\binstructions\\b,readme"", ""title_signal:documentation:\\binstructions\\b,readme"", ""high_specific_text:documentation""]","Assigned documentation from keyword with confidence 0.80. Signals: text_signal:documentation:\binstructions\b,readme; title_signal:documentation:\binstructions\b,readme; high_specific_text:documentation."
119,167656307,"""doctl compute droplet untag"" - droplet not found bug","I'm trying to remove a tag from a droplet, and so far have tried all the following commands: ``` doctl compute droplet untag dropletname tagname doctl compute droplet untag tagname dropletname doctl compute droplet untag tagname --drople...",https://github.com/digitalocean/doctl/issues/119,closed,2016-07-26T16:47:19Z,2016-08-04T14:10:10Z,bug,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:\\bwrong\\b,error:"", ""clean_single_primary_label""]","Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:\bwrong\b,error:; clean_single_primary_label."
127,170101067,Specifying a nonexisting tag to 'droplet create' gives an error but still creates the droplet,``` doctl compute droplet create --size 512mb --tag-name test-metadata-issue --image centos-7-2-x64 --region fra1 doctl-issue-test.example.org ``` returns ``` doctl computID Name Public IPv4 Public IPv6 Memory VCPUs Disk Region Image Sta...,https://github.com/digitalocean/doctl/issues/127,closed,2016-08-09T07:39:19Z,2016-11-14T16:40:57Z,,bug,1.000,manual_override,"[""manual_override""]","Command returns an error after creating the droplet, producing unsafe/non-obvious partial success."
131,172800657,[Bug] [Auth] [Linux-Ubuntu] 'doctl auth init' command not found on new installation of doctl,"# Update: Problem is in README.md, links given in are for old version, I found on release page new version with 'doctl auth init'. Links could be fixed in both, README.md and [DigitalOcean Community Tutorial](https://www.digitalocean.com...",https://github.com/digitalocean/doctl/issues/131,closed,2016-08-23T20:38:00Z,2016-08-23T21:32:28Z,,documentation,1.000,manual_override,"[""manual_override""]",Reporter identifies README/tutorial links as the root problem after initial bug report.
163,186822821,test,test,https://github.com/digitalocean/doctl/issues/163,closed,2016-11-02T14:52:05Z,2016-11-02T14:53:34Z,,other,0.800,keyword,"[""text_signal:other:exact_test_issue,low_information"", ""title_signal:other:exact_test_issue"", ""high_specific_text:other""]","Assigned other from keyword with confidence 0.80. Signals: text_signal:other:exact_test_issue,low_information; title_signal:other:exact_test_issue; high_specific_text:other."
166,189224660,Why is there difference between 'tag-name' and 'tag-names' flags?,"Just a friendly question - but by was `tag-name` left to error if tag is non-existing? :) As far as I remember, earlier it would just create Droplet but will not apply tag if it doesn't exist. Now there is API update and new command in d...",https://github.com/digitalocean/doctl/issues/166,closed,2016-11-14T21:00:06Z,2016-11-15T21:45:25Z,,question,1.000,manual_override,"[""manual_override""]",User is asking why tag-name and tag-names differ rather than asserting a clear defect.
183,202155597,How to add multiple tags to a droplet during creation?,I'm trying to assign two tags to a droplet during creation time. The create command appears to only accept a single tag at a time. Can you advise how to do this? `doctl compute droplet create db01 --region nyc3 --size 512mb --image cento...,https://github.com/digitalocean/doctl/issues/183,closed,2017-01-20T14:38:23Z,2017-01-20T15:27:21Z,,question,1.000,manual_override,"[""manual_override""]",User asks how to add multiple tags during droplet creation and asks for guidance.
184,203147739,snapshots,Documentation unclear on syntax for generating new snapshots,https://github.com/digitalocean/doctl/issues/184,closed,2017-01-25T16:15:08Z,2017-04-04T18:46:46Z,,documentation,1.000,manual_override,"[""manual_override""]",Issue explicitly says documentation is unclear for snapshot syntax.
211,220150204,How to install this for Windows 10?,"Sorry for this noob question, but the file I downloaded is a ""doctl"" file and not executable. How can I install this CLI? Thanks.",https://github.com/digitalocean/doctl/issues/211,closed,2017-04-07T08:49:31Z,2017-04-07T09:45:32Z,,question,0.900,keyword,"[""text_signal:question:\\bcan i\\b,how can i,how to"", ""title_signal:question:how to"", ""high_specific_text:question""]","Assigned question from keyword with confidence 0.90. Signals: text_signal:question:\bcan i\b,how can i,how to; title_signal:question:how to; high_specific_text:question."
226,225437327,proposal: make doctl part of chocolatey package manager,"For some time now, `doctl` is part of Homebrew package manager for macOS, and from not so long ago, Snap for Linux joined the party. That means that we don't support only Windows package managers. As far as I know, Windows still don't ha...",https://github.com/digitalocean/doctl/issues/226,closed,2017-05-01T13:47:56Z,2020-05-26T16:51:27Z,packaging;suggestion;windows,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:\\bproposal\\b,package manager"", ""title_signal:enhancement:\\bproposal\\b,package manager"", ""clean_single_primary_label""]","Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:\bproposal\b,package manager; title_signal:enhancement:\bproposal\b,package manager; clean_single_primary_label."
238,235072545,man pages and fish completions,"the fish shell allows to easily generates its completions from the man pages on the system. while doctl provides a rich inline documentation, it's not persisted on disk, and as such, unfortunately, not quite useful to fish. Would you con...",https://github.com/digitalocean/doctl/issues/238,open,2017-06-11T15:17:49Z,,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:completion"", ""title_signal:enhancement:completion"", ""clean_single_primary_label""]",Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:completion; title_signal:enhancement:completion; clean_single_primary_label.
