issue_number,title,body_excerpt,html_url,state,maintainer_labels,split,candidate_label,ground_truth,confidence,reason,label_source,review_priority,rationale
298,unknown flag: --tag-names,"I get the feeling that this isn't a bug but something I do not completely understand about Tags. I have created a bash script which creates my droplets. One of the variables in my script are ""TAGS"", my script checks if the variable is bl...",https://github.com/digitalocean/doctl/issues/298,closed,question,scored,question,question,0.750,eligible_high_confidence,maintainer_label,high,Assigned question from maintainer_label with confidence 0.75. Signals: primary_maintainer_label:question; clean_single_primary_label.
308,Fail authenticate,I can't connect my terminal to digital ocean for use doctl. Can you help me ? ![image](https://user-images.githubusercontent.com/5904891/39023188-78d26fc4-4439-11e8-9ae9-ee3b5951e81a.png),https://github.com/digitalocean/doctl/issues/308,closed,question,scored,question,question,0.750,eligible_high_confidence,maintainer_label,high,Assigned question from maintainer_label with confidence 0.75. Signals: primary_maintainer_label:question; clean_single_primary_label.
276,why is there a sha256 mismatch for darwin 1.7.1?  and linux amd64,I tried download darwin 1.7.1 and the hash does not match. This is on a mac. **Disclaimer: I could very well have checked this incorrectly.** ```` (env) jluc@Downloads$ ls | grep darwin -rw-r--r--@ 1 jluc staff 72 28 Nov 14:28 doctl-1.7....,https://github.com/digitalocean/doctl/issues/276,closed,,unscored,documentation,,0.700,below_min_confidence,keyword,high,Assigned documentation from keyword with confidence 0.70. Signals: text_signal:documentation:\bmismatch\b; title_signal:documentation:\bmismatch\b; high_specific_text:documentation.
290,How to add multiple Volumes when creating a droplet.,"I've tried to do this --volumes [""some-volume-id"", ""some-volume-id2""] but it doesn't work. The docs and api isn't really clear and I can't find an example of how to do it.",https://github.com/digitalocean/doctl/issues/290,closed,,unscored,documentation,,0.400,below_min_confidence,keyword,high,"Assigned documentation from keyword with confidence 0.40. Signals: text_signal:documentation:\bdocs\b,\bexamples?\b."
310,Dockerfile does not support SSH,The Dockerfile of this Repository does not allow the usage of the SSH command! Openssh is missing. here is a working example: ``` FROM alpine:3.5 ENV DOCTL_VERSION=1.8.0 RUN apk add --no-cache curl openssh RUN mkdir /root/.ssh/ ARG HOST_...,https://github.com/digitalocean/doctl/issues/310,closed,packaging,unscored,documentation,,0.500,below_min_confidence,keyword,high,"Assigned documentation from keyword with confidence 0.50. Signals: text_signal:documentation:\bexamples?\b,\binstructions\b,\busage\b."
366,--ip-address should be optional in doctl compute domain create,"The flag `--ip-address` is required in `doctl compute domain create`: ``` create domain Usage: doctl compute domain create <domain> [flags] Aliases: create, c Flags: --format string Columns for output in a comma separated list. Possible ...",https://github.com/digitalocean/doctl/issues/366,closed,,unscored,documentation,,0.400,below_min_confidence,keyword,high,"Assigned documentation from keyword with confidence 0.40. Signals: text_signal:documentation:\busage\b,documentation."
568,Duplicated `docker pull` instructions on GitHub releases,"Starting with the [v1.29.1](https://github.com/digitalocean/doctl/releases/tag/v1.29.1) release, the GitHub release page contains duplicated `docker pull` instructions, listing each tag twice. E.g. ![Selection_999(1336)](https://user-ima...",https://github.com/digitalocean/doctl/issues/568,closed,,unscored,documentation,,0.700,below_min_confidence,keyword,high,Assigned documentation from keyword with confidence 0.70. Signals: text_signal:documentation:\binstructions\b; title_signal:documentation:\binstructions\b; high_specific_text:documentation.
670,does doctl support switching between teams?,I have an account A that was added to Team T. I can manage projects and K8s clusters that were created under team T Now I want to mange K8s clusters in my own account A. Even though I have added auth context I can't seem to switch them. ...,https://github.com/digitalocean/doctl/issues/670,closed,troubleshooting,unscored,question,,0.450,below_min_confidence,keyword,high,Assigned question from keyword with confidence 0.45. Signals: text_signal:question:does doctl support; title_signal:question:does doctl support.
1334,--wait does not wait for cloud-init to finish,"**Describe the Issue:** I'm running the following command: ``` doctl compute droplet create \ --region ""${JX_DO_REGION}"" \ --image ""${JX_DO_DROPLET_IMAGE}"" \ --size ""${JX_DO_DROPLET_SIZE}"" \ --ssh-keys ""${JX_DO_SSH_KEY}"" \ --enable-monit...",https://github.com/digitalocean/doctl/issues/1334,closed,work-around-available,unscored,question,,0.400,below_min_confidence,keyword,high,"Assigned question from keyword with confidence 0.40. Signals: text_signal:question:\bcan i\b,how can i."
1843,1.159.0-release Using cached credential,"Every time I use kubectl to manage DO kubernetes clusters, doctl is bugging with the following messages: ``` doctl: 2026/05/19 11:25:44 Using cached credential ``` How do i get rid of them? I tried removing ~/.config/doctl/cache but it d...",https://github.com/digitalocean/doctl/issues/1843,closed,,unscored,security,,0.700,below_min_confidence,keyword,high,Assigned security from keyword with confidence 0.70. Signals: text_signal:security:\bcredential\b; title_signal:security:\bcredential\b; high_specific_text:security.
814,Create list of different droplet sizes and image names for reference on docs,"**What is the problem this feature would solve? Please describe.** I have no idea what the available names for the images are when using doctl. And when I try just some random name, it does not give me a list of options. Where are we sup...",https://github.com/digitalocean/doctl/issues/814,closed,suggestion,review,enhancement,,0.300,ambiguous_documentation_enhancement,maintainer_label,medium,Assigned enhancement from maintainer_label with confidence 0.30. Signals: primary_maintainer_label:suggestion; competing_text_signal:documentation.
1190,AppSpec JSON Schema,**What is the problem this feature would solve? Please describe.** I would like to create a JSON app spec file and there is no JSON Schema to be found. **Describe the solution you'd like** Please publish a JSON Schema somewhere in your d...,https://github.com/digitalocean/doctl/issues/1190,closed,docs;suggestion,review,,,0.000,conflicting_primary_labels,none,medium,No single high-confidence target label could be certified.
1335,How do I check droplets in a load-balancer are registered and in healthy state using the CLI?,"**What is the problem this feature would solve? Please describe.** On the UI, when you add a droplet, you can check it status and it tells you if the box is healthy or not. However, I cannot figure how to find this information out via th...",https://github.com/digitalocean/doctl/issues/1335,open,do-api;suggestion,review,enhancement,,0.300,strong_competing_text_signal,maintainer_label,medium,Assigned enhancement from maintainer_label with confidence 0.30. Signals: primary_maintainer_label:suggestion; competing_text_signal:question.
1418,Autocompletion for Fish Shell is unclear,**Describe the Issue:** <!-- Cannot figure out how to get completion to work in fish shell. Instructions and examples in docs or man pages would be helpful --> **Environment:** <!-- Please provide the following information: --> - doctl v...,https://github.com/digitalocean/doctl/issues/1418,closed,bug,review,bug,,0.300,strong_competing_text_signal,maintainer_label,medium,Assigned bug from maintainer_label with confidence 0.30. Signals: primary_maintainer_label:bug; competing_text_signal:documentation.
